"ENERGY STAR Unique ID","ENERGY STAR Partner","Brand Name","Model Name","Model Number","Additional Model Information","UPC","Full Load Input Rate (kBtu/hr)","Thermal Efficiency (%)","Turndown Ratio","Control Type","Application","Date Available on Market","Date Qualified","Markets","CB Model Identifier"
"2339372","Ariston USA LLC","HTP","Elite XL","ELX-400FBN",,,"399","97","10","Multi-stage","Indoor","2019 Feb 01 12:00:00 AM","2021 Nov 08 12:00:00 AM","United States, Canada","ES_29975_ELX-400FBN_06042019203457_8725699"
"2339374","Ariston USA LLC","HTP","Elite XL","ELX-500FBN",,,"500","97","10","Multi-stage","Indoor","2019 Feb 01 12:00:00 AM","2021 Nov 08 12:00:00 AM","United States, Canada","ES_29975_ELX-500FBN_06042019203502_2881348"
"2339376","Ariston USA LLC","HTP","Elite XL","ELX-650FBN",,,"650","97","10","Multi-stage","Indoor","2019 Feb 01 12:00:00 AM","2021 Nov 08 12:00:00 AM","United States, Canada","ES_29975_ELX-650FBN_06042019203505_5815497"
"2339378","Ariston USA LLC","HTP","Elite XL","ELX-800FBN",,,"800","97","10","Multi-stage","Indoor","2019 Feb 01 12:00:00 AM","2021 Nov 08 12:00:00 AM","United States, Canada","ES_29975_ELX-800FBN_06042019203509_6557036"
"2339380","Ariston USA LLC","HTP","Elite XL","ELX-1000FBN",,,"1,000","97","10","Multi-stage","Indoor","2019 Feb 01 12:00:00 AM","2021 Nov 08 12:00:00 AM","United States, Canada","ES_29975_ELX-1000FBN_06042019203512_2174164"
"2339382","Ariston USA LLC","HTP","Elite XL","ELX-2000FBN",,,"2,000","97","10","Multi-stage","Indoor","2019 Feb 01 12:00:00 AM","2021 Nov 08 12:00:00 AM","United States, Canada","ES_29975_ELX-2000FBN_06042019203516_4518886"
"2682265","Ariston USA LLC","HTP","Elite XL","ELX-1500FBN",,,"1,500","97","10","Multi-stage","Indoor","2020 Feb 01 12:00:00 AM","2023 Oct 12 12:00:00 AM","United States, Canada","ES_29975_ELX-1500FBN_03162020181510_611956"
"2546268","Bradford White Corporation","Bradford White","Brute XTR","BNT2H0650",,,"650","96.5","10","Multi-stage","Indoor","2023 Aug 28 12:00:00 AM","2023 Aug 28 12:00:00 AM","United States, Canada","ES_92896_BNT2H0650_06212023092247_4286906"
"2546272","Bradford White Corporation","Bradford White","Brute XTR","BNT2H0500",,,"500","96.6","10","Multi-stage","Indoor","2023 Aug 28 12:00:00 AM","2023 Aug 28 12:00:00 AM","United States, Canada","ES_92896_BNT2H0500_06212023092246_5544090"
"2546273","Bradford White Corporation","Bradford White","Brute XTR","BNT2H0399",,,"399","96.7","10","Multi-stage","Indoor","2023 Aug 28 12:00:00 AM","2023 Aug 28 12:00:00 AM","United States, Canada","ES_92896_BNT2H0399_06212023092243_8959052"
"2647497","Bradford White Corporation","Bradford White","Brute XTR","BNT2H0800",,,"800","96.4","10","Multi-stage","Indoor","2023 Aug 28 12:00:00 AM","2023 Aug 28 12:00:00 AM","United States, Canada","ES_92896_BNT2H0800_06212023092247_6805086"
"2647498","Bradford White Corporation","Bradford White","Brute XTR","BNT2H1500",,,"1,500","96","10","Multi-stage","Indoor","2023 Aug 28 12:00:00 AM","2023 Aug 28 12:00:00 AM","United States, Canada","ES_92896_BNT2H1500_06212023092247_9089372"
"2647499","Bradford White Corporation","Bradford White","Brute XTR","BNT2H0999",,,"999","96.3","9","Multi-stage","Indoor","2023 Aug 28 12:00:00 AM","2023 Aug 28 12:00:00 AM","United States, Canada","ES_92896_BNT2H0999_06212023092247_7999931"
"3555520","Bradford White Corporation","Bradford White","Brute FT","BFTHW301",,,"301","95.1","7","Multi-stage","Indoor","2023 Jul 01 12:00:00 AM","2024 Jul 29 12:00:00 AM","United States, Canada","ES_92896_BFTHW301_09262023155639_4550151"
"3555521","Bradford White Corporation","Bradford White","Brute FT","BFTHW399",,,"399","95.4","10","Multi-stage","Indoor","2023 Jul 01 12:00:00 AM","2024 Jul 29 12:00:00 AM","United States, Canada","ES_92896_BFTHW399_09262023155640_7607797"
"2318284","Cleaver-Brooks, Inc.","CLEARFIRE","ClearFire-CE","CFCE-700-2000-HW",,,"2,000","95.5","5","Multi-stage","Indoor","2016 Dec 21 12:00:00 AM","2021 Nov 08 12:00:00 AM","United States, Canada","ES_1139488_CFCE-700-2000-HW_04102018180021_9333610"
"2318285","Cleaver-Brooks, Inc.","CLEARFIRE","ClearFire-CE","CFCE-700-750-HW",,,"750","95.1","5","Multi-stage","Indoor","2017 Apr 04 12:00:00 AM","2021 Nov 08 12:00:00 AM","United States, Canada","ES_1139488_CFCE-700-750-HW_04102018180026_3433075"
"2318286","Cleaver-Brooks, Inc.","CLEARFIRE","ClearFire-CE","CFCE-700-1500-HW",,,"1,500","95.1","5","Multi-stage","Indoor","2017 Apr 04 12:00:00 AM","2021 Nov 08 12:00:00 AM","United States, Canada","ES_1139488_CFCE-700-1500-HW_04102018180029_0499709"
"2318287","Cleaver-Brooks, Inc.","CLEARFIRE","ClearFire-CE","CFCE-700-500-HW",,,"500","95.1","5","Multi-stage","Indoor","2018 Feb 03 12:00:00 AM","2021 Nov 08 12:00:00 AM","United States, Canada","ES_1139488_CFCE-700-500-HW_04102018180031_8263670"
"2327861","Cleaver-Brooks, Inc.","CLEARFIRE","ClearFire-CE","CFCE-700-1000-HW",,,"1,000","96.1","5","Multi-stage","Indoor","2016 Dec 21 12:00:00 AM","2021 Nov 08 12:00:00 AM","United States, Canada","ES_1139488_CFCE-700-1000-HW_10122018191945_0534460"
"2368687","ECR International","Utica Boilers","UCS-380","UCS-380",,,"379","95","10","Multi-stage","Indoor","2017 Mar 07 12:00:00 AM","2020 Oct 26 12:00:00 AM","United States, Canada","ES_1017619_UCS-380_10132020141822_4599334"
"3891629","ECR International","CONFORTO","CH-399","CH-399",,,"399","95.5","5","Multi-stage","Indoor","2024 Oct 04 12:00:00 AM","2024 Dec 18 12:00:00 AM","United States, Canada","ES_1017619_CH-399_07032024003347_9418453"
"3891630","ECR International","CONFORTO","CH-499","CH-499",,,"470","95.6","5","Multi-stage","Indoor","2024 Oct 04 12:00:00 AM","2024 Dec 18 12:00:00 AM","United States, Canada","ES_1017619_CH-499_07032024003348_961509"
"3891631","ECR International","Dunkirk","CH-399","CH-399",,,"399","95.5","5","Multi-stage","Indoor","2024 Oct 04 12:00:00 AM","2024 Dec 18 12:00:00 AM","United States, Canada","ES_1017619_CH-399_07032024003350_618771"
"3891632","ECR International","Dunkirk","CH-499","CH-499",,,"470","95.6","5","Multi-stage","Indoor","2024 Oct 04 12:00:00 AM","2024 Dec 18 12:00:00 AM","United States, Canada","ES_1017619_CH-499_07032024003351_8007947"
