"ENERGY STAR Unique ID","ENERGY STAR Partner","Brand Name","Model Name","Model Number","Additional Model Information","UPC","Product Type","Max Nameplate Output Current (A)","Input Voltage (V)","Maximum Output Power (kW)","Number of Outputs","Maximum Output Cord Length (ft.)","Output Cord Gauge (AWG)","Screen Area, if EVSE has high res display (in2)","Maximum (100%) Measured Luminance of the High Res Display (candelas per m2)","Automatic Brightness Control (ABC) Capable?","Connected Capable","DR Protocol","Connects Using","Protocols Used to Support Smart Charging","Network Security Standards","Is Broadband Internet Connection Needed for Demand Response?","Auxiliary Product Features","Product Features","Network Capability","Network Connection Types Available","No Vehicle Mode Input Power (watts)","No Vehicle Mode Total Allowance (watts)","No Vehicle Mode Power Factor","Partial On Mode Input Power (watts)","Partial On Mode Total Allowance (watts)","Partial On Mode Power Factor","Idle Mode Input Power (watts)","Idle Mode Total Allowance (watts)","Idle Mode Power Factor","Full Current Operation Mode Test: Total Loss (watts)","30 A Operation Mode Test: Total Loss (watts)","15 A Operation Mode Test: Total Loss (watts)","4 A Operation Mode Test: Total Loss (watts)","Dual Input Level 2: No Vehicle Mode Input Power (watts)","Dual Input No Vehicle Mode Total Allowance (watts)","Dual Input Level 2: No Vehicle Mode Power Factor","Dual Input Level 2: Partial On Mode Input Power (watts)","Dual Input Partial On Mode Total Allowance (watts)","Dual Input Level 2:  Partial On Mode Power Factor","Dual Input Level 2:  Idle Mode Input Power (watts)","Dual Input Idle Mode Total Allowance (watts)","Dual Input Level 2:  Idle Mode Power Factor","Dual Input Level 2: Full Current Operation Mode Test: Total Loss (watts)","Dual Input Level 2: 30 A Operation Mode Test: Total Loss (watts)","Dual Input Level 2: 15 A Operation Mode Test: Total Loss (watts)","Dual Input Level 2: 4 A Operation Mode Test: Total Loss (watts)","Date Available on Market","Date Certified","Markets","CB Model Identifier"
"3462869","14821530 CANADA INC. DBA FractalEV","FractalEV","FR-482C1DRNAJ","FR-482C1DRNAJ",,,"Level 2","48","240","11.52","1","25","9","7.93","470.5","No",,,,,,,"Radio Frequency Identification (RFID)",,"Yes","Wi-Fi or Gigabit Ethernet,Cellular","4.81","7.45","0.35","4.68","7.45","0.34","5.11","26.65","0.33","13.2","12.6","13","13.2",,,,,,,,,,,,,,"04/24/2024","04/24/2024","United States, Canada","ES_1150419_FR-482C1DRNAJ_03142024123110_4858362"
"3462870","14821530 CANADA INC. DBA FractalEV","FractalEV","FR-802C1DRNAJ","FR-802C1DRNAJ",,,"Level 2","80","240","19.2","1","25","6","7.93","473","No",,,,,,,"Radio Frequency Identification (RFID)",,"Yes","Wi-Fi or Gigabit Ethernet,Cellular","5.21","7.45","0.36","5.09","7.45","0.36","6.37","39.45","0.37","18.5","13.4","13.5","13.7",,,,,,,,,,,,,,"04/24/2024","04/24/2024","United States, Canada","ES_1150419_FR-802C1DRNAJ_04082024152233_429040"
"4512780","14821530 CANADA INC. DBA FractalEV","FractalEV","FR-482E1DRNAK","FR-482E1DRNAK",,,"Level 2","48","240","11.52","1","25","9","7.93","769","No",,,,,,,"High Resolution Display,PLC Board (ISO 15118),Radio Frequency Identification (RFID)",,"Yes","Wi-Fi or Gigabit Ethernet,Cellular","3.57","8.55","0.16","3.83","8.55","0.17","5.37","27.75","0.22","129","58","14","4",,,,,,,,,,,,,,"10/25/2025","10/25/2025","United States, Canada","ES_1150419_FR-482E1DRNAK_10242025133502_4060174"
"4512781","14821530 CANADA INC. DBA FractalEV","FractalEV","FR-802E1DRNAK","FR-802E1DRNAK",,,"Level 2","80","240","19.2","1","25","6","7.93","767","No",,,,,,,"High Resolution Display,PLC Board (ISO 15118),Radio Frequency Identification (RFID)",,"Yes","Wi-Fi or Gigabit Ethernet,Cellular","3.71","8.55","0.17","3.55","0.16","8.55","4.8","40.55","0.19","186","40","6","9",,,,,,,,,,,,,,"10/25/2025","10/25/2025","United States, Canada","ES_1150419_FR-802E1DRNAK_10242025140156_9689142"
"2381863","ABB E-mobility B.V.","ABB","Terra AC Wallbox Charging Station","Terra AC W7-P8-R-CD-0","Terra AC W7-P8-R-D-0, Terra AC W7-P8-R-C-0",,"Level 2","32","240","7.68","1","26","10",,,"No","No",,"Wi-Fi",,,"No",,,"Yes","Wi-Fi or Gigabit Ethernet,Cellular","3.2","3.6","0.37","3.3","3.6","0.38","3.4","16.4","0.37","79.34","72.19","36.15","15.09",,,,,,,,,,,,,,"07/06/2021","07/06/2021","United States, Canada","ES_1146276_Terra AC W7-P8-R-CD-0_07082021143203_1010101"
"2390583","ABB E-mobility B.V.","(ABB)","Terra AC W9-P8-R-*D-*","Terra AC W9-P8-R-*D-*","Terra AC W9-P8-R-*C-#; Terra AC W9-P8-R-*C-##; Terra AC W9-P8-R-*C-###; Terra AC W9-P8-R-*C-####; Terra AC W9-P8-R-*C-#####; Terra AC W9-P8-R-*C-######; Terra AC W9-P8-R-*C-#######; Terra AC W9-P8-R-*C-########; Terra AC W9-P8-R-*C-#########; Terra AC W9-P8-R-*C-##########; Terra AC W9-P8-R-*C-###########; Terra AC W9-P8-R-*C-############; Terra AC W9-P8-R-*D-**; Terra AC W9-P8-R-*D-***; Terra AC W9-P8-R-*D-****; Terra AC W9-P8-R-*D-*****; Terra AC W9-P8-R-*D-******; Terra AC W9-P8-R-*D-*******; Terra AC W9-P8-R-*D-********; Terra AC W9-P8-R-*D-*********; Terra AC W9-P8-R-*D-**********; Terra AC W9-P8-R-*D-***********; Terra AC W9-P8-R-*D-************",,"Level 2","40","240","9.6","1","26","8",,,"No",,,,,,,,,"Yes","Wi-Fi or Gigabit Ethernet,Cellular","2.76","3.6","0.15","2.92","3.6","0.17","9.85","19.6","0.34","67",,,,,,,,,,,,,,,,,"01/17/2022","01/17/2022","United States, Canada","ES_1146276_Terra AC W9-P8-R-D-0_01112022125317_2307245"
"2391533","ABB E-mobility B.V.","(ABB)","Terra AC W9-P8-RD-MCD-0","Terra AC W9-P8-RD-MCD-0",,,"Level 2","40","240","9.6","1","26","8","20.52",,"No",,,,,,,,,"Yes","Wi-Fi or Gigabit Ethernet,Cellular","5.54","5.9","0.26","5.58","5.9","0.26","12.64","21.9","0.38","70",,,,,,,,,,,,,,,,,"01/19/2022","01/19/2022","United States, Canada","ES_1146276_Terra AC W9-P8-RD-MCD-0_01112022134615_8618432"
"2391534","ABB E-mobility B.V.","(ABB)","Terra AC W19-P8-R-*D-*","Terra AC W19-P8-R-*D-*","Terra AC W19-P8-R-*C-#; Terra AC W19-P8-R-*C-##; Terra AC W19-P8-R-*C-###; Terra AC W19-P8-R-*C-####; Terra AC W19-P8-R-*C-#####; Terra AC W19-P8-R-*C-######; Terra AC W19-P8-R-*C-#######; Terra AC W19-P8-R-*C-########; Terra AC W19-P8-R-*C-#########; Terra AC W19-P8-R-*C-##########; Terra AC W19-P8-R-*C-###########; Terra AC W19-P8-R-*C-############; Terra AC W19-P8-R-*D-**; Terra AC W19-P8-R-*D-***; Terra AC W19-P8-R-*D-****; Terra AC W19-P8-R-*D-*****; Terra AC W19-P8-R-*D-******; Terra AC W19-P8-R-*D-*******; Terra AC W19-P8-R-*D-********; Terra AC W19-P8-R-*D-*********; Terra AC W19-P8-R-*D-**********; Terra AC W19-P8-R-*D-***********; Terra AC W19-P8-R-*D-************",,"Level 2","80","240","19.2","1","26","6",,,"No",,,,,,,,,"Yes","Wi-Fi or Gigabit Ethernet,Cellular","2.74","3.6","0.15","2.97","3.6","0.16","9.33","35.6","0.33","177",,,,,,,,,,,,,,,,,"01/19/2022","01/19/2022","United States, Canada","ES_1146276_Terra AC W19-P8-R-D-0_01112022135331_4330865"
"2391536","ABB E-mobility B.V.","(ABB)","Terra AC W19-P8-RD-MCD-0","Terra AC W19-P8-RD-MCD-0",,,"Level 2","80","240","19.2","1","26","6","20.52",,"No",,,,,,,,,"Yes","Wi-Fi or Gigabit Ethernet,Cellular","5.47","5.9","0.26","5.6","5.9","0.26","12.35","37.9","0.37","179",,,,,,,,,,,,,,,,,"01/19/2022","01/19/2022","United States, Canada","ES_1146276_Terra AC W19-P8-RD-MCD-0_01112022140110_3664361"
"2399140","ABB E-mobility B.V.","ABB","Terra AC W9-P8-RD-*CD-*","Terra AC W9-P8-RD-*CD-*","Terra AC W9-P8-RD-*CD-**; Terra AC W9-P8-RD-*CD-***; Terra AC W9-P8-RD-*CD-****; Terra AC W9-P8-RD-*CD-*****; Terra AC W9-P8-RD-*CD-******; Terra AC W9-P8-RD-*CD-*******; Terra AC W9-P8-RD-*CD-********; Terra AC W9-P8-RD-*CD-*********; Terra AC W9-P8-RD-*CD-**********; Terra AC W9-P8-RD-*CD-***********; Terra AC W9-P8-RD-*CD-************; Terra AC W9-P8-RD-*CD-#; Terra AC W9-P8-RD-*CD-##; Terra AC W9-P8-RD-*CD-###; Terra AC W9-P8-RD-*CD-####; Terra AC W9-P8-RD-*CD-#####; Terra AC W9-P8-RD-*CD-######; Terra AC W9-P8-RD-*CD-#######; Terra AC W9-P8-RD-*CD-########; Terra AC W9-P8-RD-*CD-#########; Terra AC W9-P8-RD-*CD-##########; Terra AC W9-P8-RD-*CD-###########; Terra AC W9-P8-RD-*CD-############",,"Level 2","40","240","9.6","1","26","8","20.52","273.4","No",,,,,,,"Radio Frequency Identification (RFID)",,"Yes","Wi-Fi or Gigabit Ethernet","5.65","8.73","0.23","5.78","8.73","0.26","12.77","24.73","0.39","75","52","25","12",,,,,,,,,,,,,,"07/15/2022","07/15/2022","United States, Canada","ES_1146276_Terra AC W9-P8-RD-MCD-0_07132022165040_7744867"
