"ENERGY STAR Unique ID","ENERGY STAR Partner","Brand Name","Model Name","Model Number","Additional Model Information","UPC","DC-input or AC-input","Single Phase or Three Phase","Product Configuration","Connector Type","Network Capability","Network Connection Types Available","Output Cord Length (ft.)","Output Cord Gauge (AWG)","Screen Area, if EVSE has high res display (in2)","Maximum Measured Luminance of the High Res Display (candelas per m2)","Automatic Brightness Control Capable?","Connected Capable","DR Protocol","Connects Using","Protocols Used to Support Smart Charging","Network Security Standards","Is Broadband Internet Connection Needed for Demand Response?","Auxiliary Product Features","Product Features","Maximum Available Output Power","Maximum Nameplate Output Current (A) AC-Input","Rated Input Voltage (V) AC-Input","Number of Outputs","Integral Battery Bank"," No Vehicle Mode Input Power (watts) AC-Input","No Vehicle Mode Total Allowance (watts)"," No Vehicle Mode Power Factor AC-Input","Partial On Mode Input Power (watts) AC-Input","Partial On Mode Total Allowance (watts)","Partial On Mode Power Factor AC-Input"," Idle Mode Input Power (watts) AC- Input","Idle Mode Power Factor AC-Input","Operation Mode: 25% Loading Condition Input Power in Cold Climate AC-Input","Operation Mode: 25% Loading Condition Output Power in Cold Climate AC-Input","Operation Mode: 50% Loading Condition Input Power in Cold Climate AC-Input","Operation Mode: 50% Loading Condition Output Power in Cold Climate AC-Input","Operation Mode: 75% Loading Condition Input Power in Cold Climate AC-Input","Operation Mode: 75% Loading Condition Output Power in Cold Climate AC-Input","Operation Mode: 50 kW Loading Condition Input Power in Cold Climate AC-Input","Operation Mode: 50 kW Loading Condition Output Power in Cold Climate AC-Input","Operation Mode: 150 kW Loading Condition Input Power in Cold Climate AC-Input","Operation Mode: 150 kW Loading Condition Output Power in Cold Climate AC-Input","Operation Mode: 100% Loading Condition Input Power in Cold Climate AC-Input","Operation Mode: 100% Loading Condition Output Power in Cold Climate AC-Input","Operation Mode: 100% Loading Condition Power Factor in Cold Climate AC-Input","Operation Mode: 25% Loading Condition Input Power in Temperate Climate AC-Input","Operation Mode: 25% Loading Condition Output Power in Temperate Climate AC-Input","Operation Mode: 50% Loading Condition Input Power in Temperate Climate AC-Input","Operation Mode: 50% Loading Condition Output Power in Temperate Climate AC-Input","Operation Mode: 75% Loading Condition Input Power in Temperate Climate AC-Input","Operation Mode: 75% Loading Condition Output Power in Temperate Climate AC-Input","Operation Mode: 50 kW Loading Condition Input Power in Temperate Climate AC-Input","Operation Mode: 50 kW Loading Condition Output Power in Temperate Climate AC-Input","Operation Mode: 150 kW Loading Condition Input Power in Temperate Climate AC-Input","Operation Mode: 150 kW Loading Condition Output Power in Temperate Climate AC-Input","Operation Mode: 100% Loading Condition Input Power in Temperate Climate AC-Input","Operation Mode: 100% Loading Condition Output Power in Temperate Climate AC-Input","Operation Mode: 100% Loading Condition Power Factor in Temperate Climate AC-Input","Operation Mode: 25% Loading Condition Input Power in Hot Climate AC-Input","Operation Mode: 25% Loading Condition Output Power in Hot Climate AC-Input","Operation Mode: 50% Loading Condition Input Power in Hot Climate AC-Input","Operation Mode: 50% Loading Condition Output Power in Hot Climate AC-Input","Operation Mode: 75% Loading Condition Input Power in Hot Climate AC-Input","Operation Mode: 75% Loading Condition Output Power in Hot Climate AC-Input","Operation Mode: 50 kW Loading Condition Input Power in Hot Climate AC-Input","Operation Mode: 50 kW Loading Condition Output Power in Hot Climate AC-Input","Operation Mode: 150 kW Loading Condition Input Power in Hot Climate AC-Input","Operation Mode: 150 kW Loading Condition Output Power in Hot Climate AC-Input","Operation Mode: 100% Loading Condition Input Power in Hot Climate AC-Input","Operation Mode: 100% Loading Condition Output Power in Hot Climate AC-Input","Operation Mode: 100% Loading Condition Power Factor in Hot Climate AC-Input","Average Loading-Adjusted Efficiency (%) AC-Input","Maximum Nameplate Output Current (A) DC- Input","Rated Input Voltage (V) DC-Input","No Vehicle Mode Input Power (watts) DC-Input","Partial On Mode Input Power (watts) DC-Input","Idle Mode Input Power (watts) DC-Input","Operation Mode: 25% Loading Condition Input Power in Cold Climate DC-Input","Operation Mode: 25% Loading Condition Output Power in Cold Climate DC-Input","Operation Mode: 50% Loading Condition Input Power in Cold Climate DC-Input","Operation Mode: 50% Loading Condition Output Power in Cold Climate DC-Input","Operation Mode: 75% Loading Condition Input Power in Cold Climate DC-Input","Operation Mode: 75% Loading Condition Output Power in Cold Climate DC-Input","Operation Mode: 50 kW Loading Condition Input Power in Cold Climate DC-Input","Operation Mode: 50 kW Loading Condition Output Power in Cold Climate DC-Input","Operation Mode: 150 kW Loading Condition Input Power in Cold Climate DC-Input","Operation Mode: 150 kW Loading Condition Output Power in Cold Climate DC-Input","Operation Mode: 100% Loading Condition Input Power in Cold Climate DC-Input","Operation Mode: 100% Loading Condition Output Power in Cold Climate DC-Input","Operation Mode: 25% Loading Condition Input Power in Temperate Climate DC-Input","Operation Mode: 25% Loading Condition Output Power in Temperate Climate DC-Input","Operation Mode: 50% Loading Condition Input Power in Temperate Climate DC-Input","Operation Mode: 50% Loading Condition Output Power in Temperate Climate DC-Input","Operation Mode: 75% Loading Condition Input Power in Temperate Climate DC-Input","Operation Mode: 75% Loading Condition Output Power in Temperate Climate DC-Input","Operation Mode: 50 kW Loading Condition Input Power in Temperate Climate DC-Input","Operation Mode: 50 kW Loading Condition Output Power in Temperate Climate DC-Input","Operation Mode: 150 kW Loading Condition Input Power in Temperate Climate DC-Input","Operation Mode: 150 kW Loading Condition Output Power in Temperate Climate DC-Input","Operation Mode: 100% Loading Condition Input Power in Temperate Climate DC-Input","Operation Mode: 100% Loading Condition Output Power in Temperate Climate DC-Input","Operation Mode: 25% Loading Condition Input Power in Hot Climate DC-Input","Operation Mode: 25% Loading Condition Output Power in Hot Climate DC-Input","Operation Mode: 50% Loading Condition Input Power in Hot Climate DC-Input","Operation Mode: 50% Loading Condition Output Power in Hot Climate DC-Input","Operation Mode: 75% Loading Condition Input Power in Hot Climate DC-Input","Operation Mode: 75% Loading Condition Output Power in Hot Climate DC-Input","Operation Mode: 50 kW Loading Condition Input Power in Hot Climate DC-Input","Operation Mode: 50 kW Loading Condition Output Power in Hot Climate DC-Input","Operation Mode: 150 kW Loading Condition Input Power in Hot Climate DC-Input","Operation Mode: 150 kW Loading Condition Output Power in Hot Climate DC-Input","Operation Mode: 100% Loading Condition Input Power in Hot Climate DC-Input","Operation Mode: 100% Loading Condition Output Power in Hot Climate DC-Input","Average Loading-Adjusted Efficiency (%) DC-Input","Date Available On Market","Date Certified","Markets","CB Model Identifier"
"2409680","ABB E-mobility B.V.","ABB","Terra DC Wallbox 24-C1","Terra DC Wallbox 24-C1","Terra DC Wallbox 24 C1J",,"AC-input","Single Phase","All-in-One Product Configuration","Combined Charging System (CCS)","Yes","Cellular","23","8","21","1,776","No","No",,,,,,,"Pedestal or Wall Mountable
Touch Screen Color Display","22.5",,"240","1","No","28.7","60.09","0.22","28.6","60.09","0.22","35.5","0.09","5,841","5,591","11,547","11,182","17,356","16,767",,,,,"23,283","22,355","1","5,835","5,568","11,565","11,228","17,404","16,830",,,,,"23,506","22,443","1","5,832","5,598","11,579","16,817","17,409","16,817",,,,,"23,417","22,448","1","0.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01/14/2019","03/17/2023","United States","ES_1146276_Terra DC Wallbox 24-C1_02082023225223_5834422"
"2409685","ABB E-mobility B.V.","ABB","Terra DC Wallbox 24-CJ","Terra DC Wallbox 24-CJ","Terra DC Wallbox 24 C; Terra DC Wallbox 24 CC",,"AC-input","Three Phase","All-in-One Product Configuration","CHAdeMO,Combined Charging System (CCS)","Yes","Cellular","23","8","21","1,948","No","No",,,,,,,"Pedestal or Wall Mountable
Touch Screen Color Display","22.5","60","480","2","No","37.8","60.24","0.17","44.4","60.24","0.2","45","0.15","5,893","5,598","11,410","11,137","17,533","17,074",,,,,"22,643","22,158","1","5,797","5,610","11,414","11,172","17,130","16,736",,,,,"22,403","22,310","1","5,832","5,592","11,429","11,157","17,598","17,144",,,,,"22,984","22,298","1","0.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"08/19/2019","03/03/2023","United States","ES_1146276_Terra DC Wallbox 24-CJ_020820230040103_5855022"
"2443183","ABB E-mobility B.V.","ABB","Terra 184 CC","Terra 184 CC","Terra 124 C; Terra 124 CC; Terra 124 CJ; Terra 184 C; Terra 184 CJ; Terra 94 C; Terra 94 CC; Terra 94 CJ",,"AC-input","Three Phase","All-in-One Product Configuration","CHAdeMO,Combined Charging System (CCS)","No","None","19","2","21","1,682","No","No",,,,,,,"Power Sharing Technology","180,000","230","480","2","No",,"134.02","0.02",,"134.02","0.02",,"0.02","46,366","44,911","92,775","89,284","136,203","133,480","52,349","50,709","154,684","149,836","184,826","177,731","0.99","46,618","45,148","93,447","89,773","139,303","134,540","52,656","50,966","156,360","150,668","186,578","178,988","0.99","47,412","45,802","92,235","88,442","139,809","134,988","51,866","50,103","156,727","150,920","186,942","179,348","0.99","0.96",,,"39.4","39.39","39.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10/16/2020","03/21/2023","United States, Canada","ES_1146276_Terra 184 CC _031720232136131_9021468"
"4481076","ABB E-mobility B.V.","ABB E-mobility B.V.","TDC400-x Nayzz","A300S1 NA 6CC","Ax00Sw Nayzz (x=100, 200, 300; w=1, 2); y=5, 6; z=C, N",,"AC-input","Three Phase","All-in-One Product Configuration","Other,Combined Charging System (CCS),NACS","Yes","Gigabit Ethernet,Wi-Fi","16","4/0","411","853","No","Yes","Open Charge Point Protocol (OCPP)","HomePlug Green PHY","ISO 15118-2 or later","None","Yes","High Resolution Display,PLC Board (ISO 15118),Credit Card Reader,Radio Frequency Identification (RFID),Revenue Grade Meter,Speaker","None","300","380","480","2","No","155.8","201.13","0.41","144.4","201.13","0.4","1,225.4","0.44","79,034","75,043","157,326","150,119","236,300","225,196","53,151","50,114","157,326","150,119","315,246","300,465","0.99","78,752","75,127","156,512","150,166","236,558","225,194","53,025","50,056","156,512","150,166","316,348","300,312","0.99","79,175","75,088","157,572","150,149","237,224","225,190","53,084","50,057","157,572","150,149","318,093","300,314","0.99","0.95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01/01/2025","08/04/2025","United States, Canada","ES_1146276_A300S1 NA 6CC_08052025112436_5637570"
"4513958","ABB E-mobility B.V.","ABB E-mobility B.V.","C50Sw NA yzz (w = 1, 2, 3; y = 1; z = C, N)","C50Sw NA yzz (w = 1, 2, 3; y = 1; z = C, N)","C50S1 NA 1CC,C50S1 NA 1CC; C50S1 NA 1CN,C50S1 NA 1CN; C50S1 NA 1NC,C50S1 NA 1NC; C50S1 NA 1NN,C50S1 NA 1NN; C50S2 NA 1CC,C50S2 NA 1CC; C50S2 NA 1CN,C50S2 NA 1CN; C50S2 NA 1NC,C50S2 NA 1NC; C50S2 NA 1NN,C50S2 NA 1NN; C50S3 NA 1CC,C50S3 NA 1CC; C50S3 NA 1CN,C50S3 NA 1CN; C50S3 NA 1NC,C50S3 NA 1NC; C50S3 NA 1NN,C50S3 NA 1NN",,"AC-input","Three Phase","All-in-One Product Configuration","Tesla,Combined Charging System (CCS)","Yes","Cellular","25","5AWG","198.77",,"No","Yes","Open Charge Point Protocol (OCPP)","HomePlug Green PHY","ISO 15118-2 or later","None","Yes","High Resolution Display,Credit Card Reader,Radio Frequency Identification (RFID)","Grid to Vehicle only","50","150","480","2","No",,"89.46",,,"87.07",,,,"13.09","12.49","26.06","25.04","39.01","37.5",,,,,"52.06","49.92","0.99","13.12","12.52","26","24.91","39.04","37.52",,,,,"51.97","49.78","0.99","13.11","12.49","26.17","24.99","39.12","37.5",,,,,"52.07","49.75","0.99","0.96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11/15/2025","10/30/2025","United States, Canada","ES_1146276_C50Sw NA yzz w 1 2 3_10302025121802_7867108"
"3624248","AddÉnergie Technologies Inc.","FLO","Ultra FL1*S#*1","Ultra FL1*S#*1",,,"AC-input","Three Phase","All-in-One Product Configuration","Other,Combined Charging System (CCS),J3400","Yes","Gigabit Ethernet,Wi-Fi,Cellular","18","4","128.82","2,764.42","No","No",,,,,,"Camera/ Occupancy Sensing,High Resolution Display,Credit Card Reader,Radio Frequency Identification (RFID),Speaker","None","320,000","500","480","2","No","119","177.6","0.99","127","177.6","0.99","1.08","0.99","86,400","81,200","168,300","157,100","259,700","242,500",,,,,"333,300","317,400","1","82,600","78,800","159,100","157,400","261,500","243,900",,,,,"336,300","319,700","0.99","84,600","79,500","173,200","162,900","263,200","244,700",,,,,"338,600","320,800","0.99","0.95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06/12/2024","08/21/2024","United States, Canada","ES_1143909_Ultra FL1*S#*1_08192024145654_8797756"
"4015664","Alpitronic srl","Alpitronic","HYC_400UL_ES","HYC_400UL_ES",,,"AC-input","Three Phase","All-in-One Product Configuration","Tesla,CHAdeMO,Combined Charging System (CCS)","Yes","Cellular","16","4x2","103.3","823","No","No",,,,,,,"None","350,000","600","480","4","No","103.29","168","0.36","106.3","168","0.33","746.7","0.7","90,800","89,070","181,050","177,700","274,480","267,230","50,571","49,360","155,040","151,969.99","355,350","346,900","0.9","90,680","88,900","181,160","177,499.99","274,910","267,600","50,656","49,420","154,840","151,410","355,560","345,750","0.9","90,680","88,680","180,910","177,300","274,650","267,220","50,946","49,680","155,220","151,660","355,980","345,980","0.9","0.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02/29/2024","04/15/2025","United States","ES_HYC_400UL_021820251642574_5946561"
"4653234","AMPS Charger","AMPS Charger","DC Electric Vehicle Supply Equipment","ICULA-320212",,,"AC-input","Three Phase","All-in-One Product Configuration","Combined Charging System (CCS)","No","None","16","2*2","425.43","454.4","Yes","No",,,,,,"Camera/ Occupancy Sensing,Credit Card Reader,High Resolution Display,PLC Board (ISO 15118),Radio Frequency Identification (RFID),Revenue Grade Meter","None","320,000","500","480","2","No","219.195","198.39","0.8","225.11","198.39","0.815","1,298.675","0.15","27,925.1","80,325","55,867.2","160,213","84,079.6","241,044","17,508.9","50,401.3","52,248.8","150,265","110,160","316,967","1","27,912.1","80,202.8","55,986.4","160,321","83,674.9","239,633","17,469.5","50,280.4","52,356.7","150,332","109,783","315,322","1","28,223.8","80,645","56,036.9","160,061","84,037","240,631","17,450.1","50,141.8","52,457.4","150,186","109,829","314,609","1","2.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01/14/2026","09/26/2025","United States, Canada","ES_1152569_ICULA-320212_06092026152313_80272297"
"4653235","AMPS Charger","AMPS Charger","DC Electric Vehicle Supply Equipment","ICULA-320212",,,"AC-input","Three Phase","All-in-One Product Configuration","Combined Charging System (CCS)","No","None","16","2*2","425.43","454.4","Yes","No",,,,,,"Camera/ Occupancy Sensing,Credit Card Reader,High Resolution Display,PLC Board (ISO 15118),Radio Frequency Identification (RFID),Revenue Grade Meter","None","320,000","500","480","2","No","219.195","198.39","0.955","225.11","198.39","0.96","1,298.675","0.175","27,935.6","80,325","55,878.4","160,213","84,122.9","241,044","17,529.7","50,401.3","52,267.3","150,265","110,379","316,967","1","27,921.3","80,202.8","56,009.6","160,321","83,703.3","239,633","17,497.6","50,280.4","52,373.2","150,332","110,024","315,322","1","28,231.7","80,645","56,078.6","160,061","84,102.4","240,631","17,481","50,141.8","52,480","150,186","110,039","314,609","1","2.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01/14/2026","09/26/2025","United States, Canada","ES_1152569_ICULA-320212_06092026152314_80272297"
"4653236","AMPS Charger","AMPS Charger","DC Electric Vehicle Supply Equipment","ICULA-320212",,,"AC-input","Three Phase","All-in-One Product Configuration","Combined Charging System (CCS)","No","None","16","2*2","425.43","454.4","Yes","No",,,,,,"Camera/ Occupancy Sensing,Credit Card Reader,High Resolution Display,PLC Board (ISO 15118),Radio Frequency Identification (RFID),Revenue Grade Meter","None","320,000","500","480","2","No","219.195","198.39","0.685","225.11","198.39","0.7","1,298.675","0.165","27,914.4","80,325","55,895.3","160,213","84,130.7","241,044","17,490.9","50,401.3","52,275.5","150,265","110,328","316,967","1","27,896.5","80,202.8","56,009.6","160,321","83,723.6","239,633","17,457","50,280.4","52,381.6","150,332","109,985","315,322","1","28,194.4","80,645","56,061","160,061","84,121.7","240,631","17,435.2","50,141.8","52,470.6","150,186","110,000","314,609","1","2.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01/14/2026","09/26/2025","United States, Canada","ES_1152569_ICULA-320212_06092026152315_80272297"
