"ENERGY STAR Unique ID","ENERGY STAR Partner","Brand Name","Model Name","Model Number","Additional Model Information","UPC","Type","Split System or Single Package","Cooling Capacity (kBtu/h)","Heating Capacity at 47°F (kBtu/h)","Heating Capacity at 17°F (kBtu/h)","Heating Capacity at 5°F (kBtu/h)","Heating Section Type","Cold Climate","Meets Peak Cooling Requirements","EER Rating (Btu/Wh)","EER2 Rating (Btu/Wh)","SEER Rating (Btu/Wh)","SEER2 Rating (Btu/Wh)","IEER Rating (Btu/Wh)","HSPF Rating (Btu/Wh)","HSPF2 Rating (Btu/Wh)","COP Rating at 47°F","COP Rating at 17°F","COP Rating at 5°F","Indoor Unit Model Number","VRF Indoor Model Type","VRF Outdoor Model Number(s)","Furnace Model Number","Refrigerant Type","Refrigerant with GWP","Date Available On Market","Date Certified","Markets","ENERGY STAR Model Identifier"
"4021360","Allied Air Enterprises","ALLIED COMMERCIAL","ML13KC1 SERIES","ML13KC1-036-233A**",,,"Very Small AC","Split","0",,,,"None","NA","Yes",,"13",,"15.5",,,,,,,"7E[C,U]49CX-**+TDR",,,"97G2UH110CE20*","R-454B","R-454B (GWP:470 | Lower GWP)","09/17/2024 12:00:00 AM","05/13/2025 12:00:00 AM","United States, Canada","ES_11025312_ML13KC1-036-233A**_05012025010324_19217335191"
"4021361","Allied Air Enterprises","ALLIED COMMERCIAL","ML13KC1 SERIES","ML13KC1-036-233A**",,,"Very Small AC","Split","0",,,,"None","NA","Yes",,"13.2",,"15.5",,,,,,,"7E[C,U]49CX-**+TDR",,,"80G1UH090CE20*","R-454B","R-454B (GWP:470 | Lower GWP)","09/17/2024 12:00:00 AM","05/13/2025 12:00:00 AM","United States, Canada","ES_11025312_ML13KC1-036-233A**_05012025010325_19217335192"
"4021362","Allied Air Enterprises","ALLIED COMMERCIAL","ML13KC1 SERIES","ML13KC1-036-233A**",,,"Very Small AC","Split","0",,,,"None","NA","Yes",,"13",,"15.5",,,,,,,"7E[C,U]49CX-**+TDR",,,"80G1UH110CE20*","R-454B","R-454B (GWP:470 | Lower GWP)","09/17/2024 12:00:00 AM","05/13/2025 12:00:00 AM","United States, Canada","ES_11025312_ML13KC1-036-233A**_05012025010325_19217335193"
"4021363","Allied Air Enterprises","ALLIED COMMERCIAL","ML13KC1 SERIES","ML13KC1-036-233A**",,,"Very Small AC","Split","0",,,,"None","NA","Yes",,"12.5",,"15.2",,,,,,,"7E[C,U]49CX-**+TDR",,,"92G1UH090CE12*","R-454B","R-454B (GWP:470 | Lower GWP)","09/17/2024 12:00:00 AM","05/13/2025 12:00:00 AM","United States, Canada","ES_11025312_ML13KC1-036-233A**_05012025010325_19217335194"
"4021364","Allied Air Enterprises","ALLIED COMMERCIAL","ML13KC1 SERIES","ML13KC1-036-233A**",,,"Very Small AC","Split","0",,,,"None","NA","Yes",,"13",,"15.4",,,,,,,"7E[C,U]49CX-**+TDR",,,"92G1UH090CE16*","R-454B","R-454B (GWP:470 | Lower GWP)","09/17/2024 12:00:00 AM","05/13/2025 12:00:00 AM","United States, Canada","ES_11025312_ML13KC1-036-233A**_05012025010325_19217335195"
"4021365","Allied Air Enterprises","ALLIED COMMERCIAL","ML13KC1 SERIES","ML13KC1-036-233A**",,,"Very Small AC","Split","0",,,,"None","NA","Yes",,"13",,"15.5",,,,,,,"7E[C,U]49CX-**+TDR",,,"92G1UH110CE16*","R-454B","R-454B (GWP:470 | Lower GWP)","09/17/2024 12:00:00 AM","05/13/2025 12:00:00 AM","United States, Canada","ES_11025312_ML13KC1-036-233A**_05012025010325_19217335196"
"4021366","Allied Air Enterprises","ALLIED COMMERCIAL","ML13KC1 SERIES","ML13KC1-036-233A**",,,"Very Small AC","Split","0",,,,"None","NA","Yes",,"13.2",,"15.5",,,,,,,"7E[C,U]49CX-**+TDR",,,"92G1UH110CE20*","R-454B","R-454B (GWP:470 | Lower GWP)","09/17/2024 12:00:00 AM","05/13/2025 12:00:00 AM","United States, Canada","ES_11025312_ML13KC1-036-233A**_05012025010325_19217335197"
"4021367","Allied Air Enterprises","ALLIED COMMERCIAL","ML13KC1 SERIES","ML13KC1-036-233A**",,,"Very Small AC","Split","0",,,,"None","NA","Yes",,"13",,"15.5",,,,,,,"7E[C,U]49CX-**+TDR",,,"96G1UH090CE16*","R-454B","R-454B (GWP:470 | Lower GWP)","09/17/2024 12:00:00 AM","05/13/2025 12:00:00 AM","United States, Canada","ES_11025312_ML13KC1-036-233A**_05012025010325_19217335198"
"4021368","Allied Air Enterprises","ALLIED COMMERCIAL","ML13KC1 SERIES","ML13KC1-036-233A**",,,"Very Small AC","Split","0",,,,"None","NA","Yes",,"13",,"15.5",,,,,,,"7E[C,U]49CX-**+TDR",,,"96G1UH110CE20*","R-454B","R-454B (GWP:470 | Lower GWP)","09/17/2024 12:00:00 AM","05/13/2025 12:00:00 AM","United States, Canada","ES_11025312_ML13KC1-036-233A**_05012025010326_19217335199"
"4021369","Allied Air Enterprises","ALLIED COMMERCIAL","ML13KC1 SERIES","ML13KC1-036-233A**",,,"Very Small AC","Split","0",,,,"None","NA","Yes",,"12.6",,"15.2",,,,,,,"7ED48CX-**+TDR",,,"97G2DF090CE16*","R-454B","R-454B (GWP:470 | Lower GWP)","09/17/2024 12:00:00 AM","05/13/2025 12:00:00 AM","United States, Canada","ES_11025312_ML13KC1-036-233A**_05012025010354_19217335222"
